Price,Close,High,Low,Open,Volume,MA20,Days,Predicted
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
2023-08-22,175.0157470703125,175.46012191641384,174.04799506153495,174.8478727981476,42038900,181.00731735229493,140,173.68280045210648
2023-08-23,178.85711669921875,179.28175219727777,176.1019810531239,176.28960964053493,52722800,180.35962448120117,141,173.84488038332154
2023-08-24,174.17636108398438,178.83739189345877,173.81097351698816,178.41275636104422,54945800,179.54100875854493,142,174.0069603145366
2023-08-25,176.37850952148438,176.91175631972774,173.62337343895007,175.16388093182096,51449600,178.70380554199218,143,174.16904024575166
2023-08-28,177.93875122070312,178.33374768816518,176.31924159506977,177.83999456976295,43820700,177.91404418945314,144,174.33112017696675
2023-08-29,181.81967163085938,182.5899254092932,177.25739693272806,177.45489519701718,53003900,177.35974655151367,145,174.4932001081818
2023-08-30,185.30555725097656,185.50307057198083,182.43192527543482,182.62942352828824,60813900,177.12914962768554,146,174.65528003939687
2023-08-31,185.52279663085938,186.75717945843076,185.1376697913831,185.49317264844964,60794500,176.97893905639648,147,174.81735997061193
2023-09-01,187.0929412841797,187.54718572230075,185.92767607044595,187.1225652663115,45766500,177.3598892211914,148,174.979439901827
2023-09-05,187.32992553710938,187.60642607121574,185.26604116890505,185.92766852324166,45280000,177.9075180053711,149,175.14151983304208
2023-09-06,180.62478637695312,186.4905763861184,179.20277485131902,186.04618648324464,81755800,178.073046875,150,175.30359976425714
2023-09-07,175.34161376953125,175.98350189646143,171.37183427986267,172.99134398653018,112488800,178.05380477905274,151,175.4656796954722
2023-09-08,175.953857421875,177.9881329660241,175.56873058484743,176.121746745329,65551300,178.07602233886718,152,175.62775962668726
2023-09-11,177.119140625,178.0473990105972,175.12437356668377,177.82027676778657,58953100,178.1535415649414,153,175.78983955790235
2023-09-12,174.09735107421875,177.87950173703112,172.6358460753217,177.24749835360407,90370200,177.9975143432617,154,175.95191948911742
2023-09-13,172.03346252441406,175.08485308011382,171.80632524830068,174.30471474035696,84267900,177.8375373840332,155,176.11399942033248
2023-09-14,173.5443572998047,173.89986015970092,171.4113401404273,171.82609096561458,60895800,177.79655532836915,156,176.27607935154754
2023-09-15,172.823486328125,174.29487626046748,171.64836639188815,174.27512191376346,109259500,177.8464256286621,157,176.4381592827626
2023-09-18,175.7465057373047,177.13889330258442,173.96899129951683,174.27511585610648,67257600,178.01825256347655,158,176.6002392139777
2023-09-19,176.83274841308594,177.38574949277796,174.91698390976052,175.30211073798526,51826900,178.177734375,159,176.76231914519275
2023-09-20,173.29751586914062,177.45490967025808,173.20862883503193,177.02040441249267,58436200,178.0918228149414,160,176.9243990764078
2023-09-21,171.75697326660156,174.09737357666756,171.68785565712008,172.36923745366522,63149100,177.73681564331054,161,177.08647900762287
2023-09-22,172.60621643066406,174.86761425499944,171.87547142547365,172.48772049861157,56725400,177.65830841064454,162,177.24855893883796
2023-09-25,173.88011169433594,174.75899170155245,171.97421669351675,172.02359502231215,46172700,177.53338851928712,163,177.41063887005302
2023-09-26,169.81158447265625,173.01109513731117,169.51532957863083,172.63585300181884,64588900,177.12703018188478,164,177.57271880126808
2023-09-27,168.30068969726562,170.87808171574733,166.93794126401278,170.46333088230946,66921800,176.4510810852051,165,177.73479873248314
2023-09-28,168.55746459960938,169.8807195182162,165.5258128129139,167.2243249736919,56294400,175.61367645263672,166,177.8968786636982
2023-09-29,169.07093811035156,170.9077001905232,168.211797495528,169.87081569769032,51861100,174.79108352661132,167,178.0589585949133
2023-10-02,171.57920837402344,172.12233981703872,168.79443355791753,169.08081880430257,52164500,174.01539688110353,168,178.22103852612835
2023-10-03,170.24607849121094,171.46072207785286,168.6858318118607,170.1078282132375,49594600,173.16120452880858,169,178.38311845734341
2023-10-04,171.4903564453125,172.03348795172127,168.8339619515459,168.9524578917983,53020300,172.70448303222656,170,178.54519838855848
2023-10-05,172.72471618652344,173.25796291419545,170.5225664715738,171.61869897615148,48527900,172.57363815307616,171,178.70727831977354
2023-10-06,175.27249145507812,175.76624458491796,171.016326818613,171.6285909459562,57266700,172.53956985473633,172,178.86935825098863
2023-10-09,176.75375366210938,176.81300162773064,173.60360623261292,174.60098214625398,42390800,172.52130050659179,173,179.0314381822037
2023-10-10,176.16123962402344,177.4746247468579,175.72673446240606,175.87486944103904,43698000,172.62449493408204,174,179.19351811341875
2023-10-11,177.55364990234375,177.60302823490863,175.38113888285298,175.9736336691769,47551100,172.9005043029785,175,179.3555980446338
2023-10-12,178.4522705078125,180.06189553412176,176.80312172309905,177.82026707710477,56743100,173.1458999633789,176,179.51767797584887
2023-10-13,176.6155242919922,179.65703072033497,175.91438812346496,179.15340788479125,51427100,173.33550186157225,177,179.67975790706396
2023-10-16,176.48712158203125,176.84262444155877,174.3047260977915,174.5417330268598,52517000,173.3725326538086,178,179.84183783827902
2023-10-17,174.93675231933594,176.19088966345473,172.61612132571108,174.44299912050275,57549400,173.2777328491211,179,180.00391776949408
2023-10-18,173.6431121826172,175.36137864838344,172.9222367694585,173.3863659573123,54764400,173.2950126647949,180,180.16599770070914
2023-10-19,173.26788330078125,175.6181383369893,173.0012523479638,173.84062376512662,59302900,173.3705581665039,181,180.3280776319242
2023-10-20,170.72007751464844,173.22833664495803,170.4830706009531,173.1197103596996,64244000,173.27625122070313,182,180.4901575631393
2023-10-23,170.83859252929688,171.8359684831129,167.80694090892598,168.77470794688867,55980100,173.12417526245116,183,180.65223749435435
2023-10-24,171.2731170654297,171.50023932449824,169.30797385167378,170.88799016172553,43816600,173.19725189208984,184,180.8143174255694
2023-10-25,168.96231079101562,170.8978144354766,168.5179209624252,169.73256439395493,57157000,173.23033294677734,185,180.97639735678447
2023-10-26,164.804931640625,169.2388405091802,163.600172706508,168.2414494672427,70625300,173.04270629882814,186,181.13847728799956
2023-10-27,166.11830139160156,166.8490614359056,164.745668316651,164.82467062426355,58499100,172.89507446289062,187,181.30055721921462
2023-10-30,168.1624298095703,169.0314401165317,166.7601727667049,166.90830774256386,51131000,172.72423553466797,188,181.46263715042969
2023-10-31,168.636474609375,168.76484019690602,165.80232095364974,167.23421730907862,44846000,172.64375534057618,189,181.62471708164475
2023-11-01,171.7964630126953,172.0532092124064,167.99455793411695,168.86356825336904,56934900,172.6590606689453,190,181.78679701285984
2023-11-02,175.35150146484375,175.5588693503195,173.26786256268767,173.32711052996643,77334800,172.79039993286133,191,181.9488769440749
2023-11-03,174.4429931640625,174.61088250590672,171.18423421755685,172.06311427874405,79829200,172.74892501831056,192,182.11095687528996
2023-11-06,176.99073791503906,177.18823614800198,174.00847994055556,174.17635419198152,63841300,172.76077423095703,193,182.27303680650502
2023-11-07,179.5483856201172,180.1606346460721,176.73398690556192,176.94135477067297,70530000,172.9301315307617,194,182.43511673772008
2023-11-08,180.60504150390625,181.15804266662394,179.3212801943679,180.07179468790036,49340300,173.08270111083985,195,182.59719666893517
2023-11-09,180.13104248046875,181.81966995293175,179.53853262491765,180.67417400336535,53763500,173.16663970947266,196,182.75927660015023
2023-11-10,184.3136749267578,184.48178544542026,181.475802800193,181.9108804268445,66133400,173.55154724121093,197,182.9213565313653
2023-11-13,182.73158264160156,183.9478113332898,182.14818998578377,183.7401702602705,43627500,173.86377029418946,198,183.08343646258035
2023-11-14,185.342041015625,186.00454008995078,184.21480130754796,185.59912547957174,60108400,174.3840347290039,199,183.2455163937954
2023-11-15,185.90565490722656,187.3789832148446,185.67823345303117,185.7474572062222,53790500,174.99716186523438,200,183.4075963250105
2023-11-16,187.5866241455078,188.8226331691939,186.53847581950137,187.44819173837502,54412900,175.7130989074707,201,183.56967625622556
2023-11-17,187.5668487548828,188.24912816814668,186.4593894684262,188.12057839811112,50922700,176.55543746948243,202,183.73175618744062
2023-11-20,189.30715942382812,189.7620174322178,187.75473976876387,187.76462241033667,46505100,177.47886581420897,203,183.89383611865568
2023-11-21,188.5062255859375,189.37638084971888,187.61630503925363,189.2676114417462,38134500,178.34052124023438,204,184.05591604987075
2023-11-22,189.16873168945312,190.77059476808083,188.69410838615653,189.34672485819107,39617700,179.35084228515626,205,184.21799598108583
2023-11-24,187.84375,188.76333367409984,187.13180743837248,188.73367065803237,24048300,180.502783203125,206,184.3800759123009
2023-11-27,187.6657257080078,188.53588093642713,186.78568783853885,187.79427548166112,40552600,181.5801544189453,207,184.54215584351596
2023-11-28,188.2689208984375,188.94131776896225,187.28011350908017,187.65586514519703,38415400,182.58547897338866,208,184.70423577473102
2023-11-29,187.2504425048828,189.93999969621768,186.85492560121705,188.76331653900834,43014200,183.51617736816405,209,184.86631570594608
2023-11-30,187.82394409179688,188.18981305356235,186.08364867108205,187.71517468500207,48794400,184.31755142211915,210,185.02839563716117
2023-12-01,189.0995330810547,189.4159436040849,187.11202054575708,188.19971472368132,45704800,185.00495300292968,211,185.19047556837623
2023-12-04,187.30978393554688,187.92285480104985,185.35194945178898,187.85363103881406,43389500,185.6482925415039,212,185.3525554995913
2023-12-05,191.25509643554688,192.2241233156588,188.05135551468544,188.081033613139,66628400,186.36151046752929,213,185.51463543080635
2023-12-06,190.16741943359375,192.58009647341478,189.95976327032974,192.27356863697858,41089700,186.89246215820313,214,185.6767153620214
2023-12-07,192.09559631347656,192.81742141001197,191.42319951100376,191.46276025185608,47477700,187.46698989868165,215,185.8387952932365
2023-12-08,193.51947021484375,193.79633503305183,191.50229501018384,192.0263616366492,53406400,188.13641128540038,216,186.00087522445156
2023-12-11,191.01776123046875,191.32430412608116,189.27746604866925,190.94855257455626,60943700,188.47161560058595,217,186.16295515566662
2023-12-12,192.5306854248047,192.54056806660662,189.57414602172835,190.9189246189266,52696900,188.9615707397461,218,186.3250350868817
2023-12-13,195.74429321289062,195.7838388648497,192.66910200901862,192.90640609677627,70404200,189.48168334960937,219,186.48711501809674
2023-12-14,195.89259338378906,197.38568681182426,193.96442237725344,195.80360435764135,66831600,189.9810302734375,220,186.64919494931183
2023-12-15,195.35865783691406,196.17935458626624,194.79503045579114,195.3190970971854,128538400,190.3696319580078,221,186.8112748805269
2023-12-18,193.69747924804688,194.42920214917604,192.21426816132805,193.89523770867535,55751900,190.67616348266603,222,186.97335481174196
2023-12-19,194.73570251464844,194.74558515548247,193.69745188302565,193.96443406555753,40714100,190.94759063720704,223,187.13543474295705
2023-12-20,192.6493377685547,195.46742966263125,192.6493377685547,194.69616113684165,52242800,191.15474624633788,224,187.2975146741721
2023-12-21,192.50099182128906,194.87413831888384,191.33420648650613,193.90511142023345,46482500,191.32135925292968,225,187.45959460538717
2023-12-22,191.43310546875,193.2228443252002,190.81015202156473,192.9954077755279,37149600,191.50082702636718,226,187.62167453660223
2023-12-26,190.88925170898438,191.719846217368,190.6717128965979,191.44298138124012,28919300,191.66200332641603,227,187.7837544678173
2023-12-27,190.98812866210938,191.33421726083122,188.95118798803827,190.33552729492325,48087700,191.7979637145996,228,187.94583439903238
2023-12-28,191.41329956054688,192.4812131469618,191.00788498748184,191.96702917839156,34049900,192.0061065673828,229,188.10791433024744
2023-12-29,190.37506103515625,192.2241257878035,189.58401220758475,191.72972215657148,42672100,192.13366241455077,230,188.2699942614625
2024-01-02,183.56219482421875,186.33085840634024,181.83178197139316,185.05528848269014,82488700,191.85679550170897,231,188.43207419267756
2024-01-03,182.18775939941406,183.79952025374087,181.37693010719954,182.15809638511382,58414500,191.60069427490234,232,188.59415412389262
2024-01-04,179.87393188476562,181.04071720671112,178.85546161628733,180.11123597031312,71983600,191.0316360473633,233,188.7562340551077
2024-01-05,179.15211486816406,180.71443234786256,178.1534248404595,179.95306152436652,62379700,190.4808708190918,234,188.91831398632277
